Complexity,Loss,Equation
1,1.0,"8.7788505e-9"
3,0.91064906,"x0 * 0.29216594"
4,0.86906147,"sin(x0) * 0.49308673"
5,0.8541482,"sin(sin(x0 * 1.8165729))"
6,0.8064163,"sin(sin(square(x0)) * x0)"
7,0.7557769,"sin(x0 - (square(x0) / 1.9632561))"
8,0.75448596,"sin(sin(x0 - square(x0 * -0.7003326)))"
10,0.7518087,"sin(sin(x0 - square(-0.7003326 * x0))) - 0.043079622"
11,0.71549857,"sin((sin(-8.855777 - x1) + x0) * sin(square(x0)))"
12,0.70971733,"sin((sin(-8.855777 - x1) + x0) * sin(sin(square(x0))))"
13,0.7082445,"sin((sin(-8.855777 - x1) + x0) * sin(sin(sin(square(x0)))))"
15,0.70755893,"((0.9333139 / x0) + sin(-8.855777 - x1)) * sin(sin(sin(sin(square(x0)))))"
18,0.7033684,"sin((sin(-8.912448 - x1) + sin(x0)) * sin(sin(sin(sin(sin(square(x0))))))) / 0.77300507"
21,0.69919807,"sin((sin((sin(-8.912448 - x1) + sin(x0)) * sin(sin(sin(sin(sin(square(x0))))))) / 0.77300507) / 0.7663938)"
25,0.6913321,"(sin(-8.912448 - x1) + sin(x0)) * (sin(sin(sin(sin(square(((0.050847236 - sin(x0 * 0.7341662)) + x0) - 1.0573251))))) / 0.77300507)"
26,0.6856405,"(sin(-8.912448 - x1) + sin(x0)) * (sin(sin(sin(sin(sin(square(((0.050847236 - sin(x0 * 0.7341662)) + x0) - 1.0573251)))))) / 0.77300507)"
27,0.68324596,"(sin(sin(sin(sin(sin(sin(square(x0 + ((0.050847236 - sin(x0 * 0.7341662)) - 1.0573251)))))))) / 0.77300507) * (sin(-8.912448 - x1) + sin(x0))"
